"Project","Hash","LongName","McCC","CLOC","PDA","PUA","LLOC","LOC","Number of Bugs"
"ceylon-ide-eclipse","d97dcb889258ac748139dde5679efa447466d141","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/core/model/JDTModule.java","1","0","0","0","0","1150","0"
"ceylon-ide-eclipse","7c59028bc7100b0093e1751b41b14305a969927f","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/core/model/JDTModule.java","1","0","0","0","0","1157","0"
"hazelcast","59c4822d4ad5dfac4cecd11231280baa33d4aa35","hazelcast/src/main/java/com/hazelcast/queue/ListenerKey.java","1","0","0","0","0","50","1"
"hazelcast","59c4822d4ad5dfac4cecd11231280baa33d4aa35","hazelcast/src/main/java/com/hazelcast/collection/ListenerKey.java","1","0","0","0","0","60","1"
"elasticsearch","3764789d9641b37d78791b83b9293611261298ff","modules/lang-painless/src/main/java/org/elasticsearch/painless/node/package-info.java","1","0","0","0","1","131","1"
"elasticsearch","ed74e53cf517330f10bdb943f05a55148e72a5de","modules/lang-painless/src/main/java/org/elasticsearch/painless/node/package-info.java","1","0","0","0","1","132","0"
"elasticsearch","b49635539d929d6cb5ee56153e2f95872fe4bb16","modules/lang-painless/src/main/java/org/elasticsearch/painless/node/package-info.java","1","0","0","0","1","133","1"
"elasticsearch","1424f09c02927d9caada7f6ea45285b411d88d12","modules/lang-painless/src/main/java/org/elasticsearch/painless/node/package-info.java","1","0","0","0","1","135","0"
"hazelcast","04c204fcf1f1d07695eb4355106ffdc8e6bc9365","hazelcast/src/main/java/com/hazelcast/config/matcher/package-info.java","1","0","0","0","1","21","0"
"hazelcast","1b24dfd09e973a0a5ac02b1fd118a1acdf5987ba","hazelcast-wm/src/main/java/com/hazelcast/web/package-info.java","1","0","0","0","1","21","0"
"hazelcast","1c8aa690e6d64bbd003dceb14a511c66372f109f","hazelcast/src/main/java/com/hazelcast/cache/merge/package-info.java","1","0","0","0","1","21","0"
"hazelcast","2921cff694583b8638dae2991f427e61d5440a9d","hazelcast-client/src/main/java/com/hazelcast/client/internal/properties/package-info.java","1","0","0","0","1","21","0"
"hazelcast","2921cff694583b8638dae2991f427e61d5440a9d","hazelcast/src/main/java/com/hazelcast/internal/properties/package-info.java","1","0","0","0","1","21","0"
"hazelcast","a4035afdfc67b757940a15578bc51b4e7b6b0b13","hazelcast/src/main/java/com/hazelcast/client/impl/protocol/codec/package-info.java","1","0","0","0","1","21","0"
"hazelcast","a4035afdfc67b757940a15578bc51b4e7b6b0b13","hazelcast-client-new/src/main/java/com/hazelcast/client/proxy/txn/xa/package-info.java","1","0","0","0","1","21","0"
"hazelcast","a4035afdfc67b757940a15578bc51b4e7b6b0b13","hazelcast-client-new/src/main/java/com/hazelcast/client/proxy/txn/package-info.java","1","0","0","0","1","21","0"
"hazelcast","a476ebc118a4c2591a6901e9d093456450e8c205","hazelcast/src/main/java/com/hazelcast/collection/common/package-info.java","1","0","0","0","1","21","0"
"hazelcast","bb3ea0e107980d769862cdbda748cc91529d67b5","hazelcast-client-new/src/main/java/com/hazelcast/client/txn/proxy/xa/package-info.java","1","0","0","0","1","21","0"
"hazelcast","bb3ea0e107980d769862cdbda748cc91529d67b5","hazelcast/src/main/java/com/hazelcast/transaction/impl/xa/package-info.java","1","0","0","0","1","21","0"
"hazelcast","98b898503b40f5fd2d50677d8eb7d145a361ff50","hazelcast/src/main/java/com/hazelcast/jmx/suppliers/package-info.java","1","0","0","0","1","22","0"
"hazelcast","e3bcad88a48d45f99979e5ac55d6ef21ebb6a2d2","hazelcast-build-utils/src/main/java/com/hazelcast/buildutils/package-info.java","1","0","0","0","1","22","0"
"hazelcast","f5e7c554bb9da9143454ed807378dd2067ad2152","hazelcast/src/main/java/com/hazelcast/jmx/suppliers/package-info.java","1","0","0","0","1","22","0"
"netty","8271c8afccf7eb21bf6f994b5f3565f6d55bdee4","codec-dns/src/main/java/io/netty/handler/codec/dns/package-info.java","1","0","0","0","1","22","0"
"hazelcast","37da3959df4151b304b211df87a6b900c0169cc5","hazelcast/src/main/java/com/hazelcast/spi/impl/operationexecutor/slowoperationdetector/package-info.java","1","0","0","0","1","23","0"
"hazelcast","2921cff694583b8638dae2991f427e61d5440a9d","hazelcast-client/src/main/java/com/hazelcast/client/internal/package-info.java","1","0","0","0","1","24","0"
"elasticsearch","10ec2e948a2f1426a5058ca3b2c2e39952f141d8","src/main/java/org/elasticsearch/action/admin/indices/gateway/snapshot/package-info.java","1","0","0","0","1","24","0"
"elasticsearch","25fd9e26c4fb042d6f6dea14efcd239577bdbbc4","core/src/main/java/org/elasticsearch/action/package-info.java","1","0","0","0","1","24","0"
"hazelcast","a36ac6ede30616fc2b702bdd7d0d164df0888372","hazelcast-wm/src/main/java/com/hazelcast/web/package-info.java","1","0","0","0","1","51","0"
"hazelcast","b97e91fdb1ae20f2064c7fc49f2b24a6ac67f945","hazelcast-wm/src/main/java/com/hazelcast/web/spring/package-info.java","1","0","0","0","1","62","0"
"hazelcast","15ad63e930e2d564e6911025f5d234fd4144e345","hazelcast/src/main/java/com/hazelcast/map/MapServiceContextSupport.java","1","0","0","0","10","21","0"
"hazelcast","5dd3caeda2bb8c092bb4050230f55932e2439044","hazelcast/src/main/java/com/hazelcast/map/impl/MapServiceContextSupport.java","1","0","0","0","10","21","0"
"hazelcast","2709bc81cd499a3160827de24422cdb6cf98fe36","hazelcast-hibernate/hazelcast-hibernate4/src/main/java/com/hazelcast/hibernate/region/HazelcastQueryResultsRegion.java","1","0","0","0","10","33","1"
