"Hash","LongName","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Code Size Rules","Comment Rules","Controversial Rules","Coupling Rules","Design Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules","Number of Bugs"
"0371273af2bc64ee3477bdb53a21fc07b1059f3e","com.hazelcast.hibernate.distributed.IMapRegionCache$1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"18f96b031b99440d92e94924f062931d6c376c48","com.hazelcast.map.EntryListenerConfigTest$1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4f542740b04aff178bc74352c92df2f355ff810e","com.hazelcast.query.impl.getters.FieldGetterTest$PrimitiveBloke","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","10","11","8","0","8","0","0","8","0","0","0","0","8","0","0","10","11","8","0","8","0","0","8","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8174fdbb0a80cd6c273fb7bd0efca6c3db74e8eb","com.hazelcast.client.impl.protocol.ClientProtocolErrorCodesTest$1MyException","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2ff6dc4e39ac737568f95eb749d69d1d320f5292","com.hazelcast.map.impl.record.RecordsTest$SerializableThread","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"525c34cddd7f4e08d674611e177bab103e4d1881","com.hazelcast.core.HazelcastTest$CustomSerializable","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","4","4","2","0","2","0","0","0","0","0","0","0","0","0","0","4","4","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"0dc65895e880eb4cbdd6996e355913992bf987d9","com.hazelcast.util.JVMUtil$CompressedOopsClass","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","5","6","2","0","2","0","0","0","0","0","0","0","0","0","0","5","6","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"36b35da77f64da0982327ab57ad5824883a33afc","com.hazelcast.util.JVMUtil$CompressedOopsClass","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","5","6","2","0","2","0","0","0","0","0","0","0","0","0","0","5","6","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"c283f04cab711308ed3018d4e448e35b9061e0d2","com.hazelcast.client.impl.protocol.EventMessageConst","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","1","0.384615","10","10","1","0","0.384615","10","0","0","0","0","0","16","19","14","0","14","0","0","14","0","0","0","0","14","0","0","16","19","14","0","14","0","0","14","0","0","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"eed2a8c40d592a8e99645faac48f99069eaeaab2","com.hazelcast.client.impl.protocol.EventMessageConst","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","1","0.391304","9","9","1","0","0.391304","9","0","0","0","0","0","14","19","12","0","12","0","0","12","0","0","0","0","12","0","0","14","19","12","0","12","0","0","12","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"a4035afdfc67b757940a15578bc51b4e7b6b0b13","com.hazelcast.client.impl.protocol.EventMessageConst","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","1","0.409091","9","9","1","0","0.409091","9","0","0","0","0","0","13","18","11","0","11","0","0","11","0","0","0","0","11","0","0","13","18","11","0","11","0","0","11","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"d9d20943b88faf6aa25ddbdc19feab4571611431","com.hazelcast.client.impl.protocol.EventMessageConst","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","1","0.37037","10","10","1","0","0.37037","10","0","0","0","0","0","17","21","15","0","15","0","0","15","0","0","0","0","15","0","0","17","21","15","0","15","0","0","15","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
