,LOC_BLANK,BRANCH_COUNT,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CYCLOMATIC_COMPLEXITY,DESIGN_COMPLEXITY,ESSENTIAL_COMPLEXITY,LOC_EXECUTABLE,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,LOC_TOTAL,Defective
0,6,9,1,0,5,3,1,24,32.54,9.5,2936.77,0.1,63,0.11,163.15,309.13,19,44,15,15,25,N
1,15,7,1,19,4,2,1,31,38.55,21.52,17846.19,0.28,141,0.05,991.46,829.45,51,90,32,27,32,Y
2,27,9,4,22,5,3,1,29,52.03,12.33,7914.68,0.21,111,0.08,439.7,641.73,37,74,33,22,33,Y
3,1,1,0,0,1,1,1,7,17.43,2,69.74,0.01,11,0.5,3.87,34.87,5,6,5,4,7,N
4,7,3,0,0,2,2,1,12,14.62,6.43,604.36,0.03,23,0.16,33.58,94.01,9,14,7,10,12,N
5,51,25,0,14,13,11,1,106,101.31,27.04,74089.87,0.91,421,0.04,4116.1,2739.78,192,229,71,20,106,N
6,3,5,0,0,3,3,1,15,8.17,18,2648.68,0.05,36,0.06,147.15,147.15,15,21,5,12,15,N
7,13,9,12,16,5,5,5,25,38.51,14.25,7820.87,0.18,107,0.07,434.49,548.83,38,69,20,15,37,N
8,22,29,8,35,15,1,3,46,61.1,22.3,30377.95,0.45,239,0.04,1687.66,1362.41,110,129,37,15,54,N
9,16,9,11,28,5,1,5,34,41.24,20.76,17773.08,0.29,155,0.05,987.39,856.15,59,96,27,19,45,N
10,4,3,2,4,2,1,1,10,15.9,9,1287.55,0.05,35,0.11,71.53,143.06,16,19,8,9,12,N
11,23,13,10,17,7,1,5,23,27.4,28.12,21659.58,0.26,157,0.04,1203.31,770.38,43,114,13,17,33,N
12,23,13,10,17,7,1,5,23,17.45,27.22,12929.85,0.16,105,0.04,718.32,474.97,35,70,9,14,33,N
13,40,9,2,15,5,2,1,31,47.41,27.5,35852.6,0.43,231,0.04,1991.81,1303.73,70,161,28,22,33,N
14,23,9,3,20,5,2,1,24,43.1,15.2,9958,0.22,120,0.07,553.22,655.13,40,80,25,19,27,N
15,8,3,6,5,2,1,1,13,29.61,9.15,2480.95,0.09,57,0.11,137.83,271.03,17,40,13,14,19,N
16,2,1,1,1,1,1,1,6,13.88,4,222.03,0.02,15,0.25,12.33,55.51,5,10,5,8,7,N
17,19,3,2,0,2,2,1,33,64.01,11.65,8684.99,0.25,135,0.09,482.5,745.68,66,69,34,12,35,N
18,0,1,1,1,1,1,1,6,13.88,4,222.03,0.02,15,0.25,12.33,55.51,5,10,5,8,7,N
19,7,6,1,0,5,1,1,41,36.35,21.98,17553.08,0.27,157,0.05,975.17,798.73,71,86,21,13,42,N
20,6,7,6,0,4,1,4,21,21.34,24.44,12748.97,0.17,98,0.04,708.28,521.54,40,58,18,22,27,N
21,134,60,63,31,41,23,6,177,101.81,54.82,305928.62,1.86,767,0.02,16996.03,5580.79,268,499,110,45,240,N
22,9,8,4,5,5,3,1,14,12.36,15,2781.99,0.06,41,0.07,154.56,185.47,16,25,8,15,18,N
23,164,110,37,191,70,46,27,361,157.03,97.73,1499684.32,5.12,1844,0.01,83315.8,15345.64,711,1133,251,69,398,N
24,27,24,3,48,13,10,7,76,60.5,32.21,62767.66,0.65,298,0.03,3487.09,1948.67,102,196,57,36,79,N
25,4,1,0,10,1,1,1,31,116.21,22.83,60566.12,0.88,461,0.04,3364.78,2653,144,317,41,13,31,N
26,5,5,0,0,3,3,1,20,34.17,10.29,3620.93,0.12,71,0.1,201.16,351.75,25,46,17,14,20,N
27,7,9,4,5,5,3,3,27,24.71,21.86,11802.86,0.18,108,0.05,655.71,540,34,74,14,18,31,N
28,16,5,2,24,3,3,1,15,36.19,7.18,1867.89,0.09,52,0.14,103.77,260,21,31,19,13,17,N
29,15,7,3,8,4,4,1,13,26.75,11.03,3253.68,0.1,59,0.09,180.76,295,25,34,17,15,16,N
30,19,5,2,16,3,3,1,25,48.49,14.11,9649.29,0.23,120,0.07,536.07,684.05,49,71,33,19,27,N
31,19,7,5,10,4,4,4,22,28.43,13.42,5120.93,0.13,75,0.07,284.5,381.56,34,41,19,15,27,N
32,15,11,5,19,6,4,1,28,30.61,23.1,16332.07,0.24,128,0.04,907.34,707.02,55,73,25,21,33,N
33,13,3,3,18,2,2,1,18,25.62,24.42,15282.02,0.21,122,0.04,849,625.77,58,64,19,16,21,N
34,14,9,2,20,5,3,1,24,27.08,39.72,42716.37,0.36,197,0.03,2373.13,1075.51,87,110,23,21,26,N
35,12,9,2,12,5,5,1,38,54.44,19.25,20172.82,0.35,176,0.05,1120.71,1047.94,70,106,40,22,40,N
36,23,9,10,9,5,5,5,31,54.55,14.84,12009.6,0.27,140,0.07,667.2,809.39,61,79,37,18,41,N
37,155,71,14,170,37,26,21,196,127.7,71.54,653537.1,3.05,1177,0.01,36307.62,9135.35,454,723,165,52,210,Y
38,42,11,5,44,6,6,1,32,53.31,12.89,8852.8,0.23,123,0.08,491.82,686.95,47,76,31,17,37,N
