LOC_BLANK,BRANCH_COUNT,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CYCLOMATIC_COMPLEXITY,DESIGN_COMPLEXITY,ESSENTIAL_COMPLEXITY,LOC_EXECUTABLE,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,LOC_TOTAL,Defective
0,1,0,0,1,1,1,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,18,N
2,3,1,0,2,1,1,6,11.71,4.9,281.06,0.02,16,0.2,15.61,57.36,7,9,5,7,7,N
0,5,8,1,3,3,1,3,13.21,17.1,3863.67,0.08,47,0.06,214.65,225.95,19,28,10,18,11,N
38,7,19,34,4,2,1,24,79.68,11.59,10705.07,0.31,157,0.09,594.73,923.57,68,89,44,15,43,Y
1,11,1,4,6,1,1,21,13.86,22.5,7014.99,0.1,68,0.04,389.72,311.78,27,41,9,15,22,N
0,3,1,0,2,1,1,1,5.99,3.75,84.22,0.01,8,0.27,4.68,22.46,3,5,2,5,2,N
2,3,5,0,2,2,1,5,13.96,6.0,502.57,0.03,22,0.17,27.92,83.76,9,13,6,8,10,N
0,1,0,0,1,1,1,2,0.0,0.0,0.0,0.0,3,0.0,0.0,4.75,0,3,0,3,2,N
2,3,1,0,2,1,1,6,11.71,4.9,281.06,0.02,16,0.2,15.61,57.36,7,9,5,7,7,N
0,1,0,0,1,1,1,0,12.68,2.5,79.25,0.01,10,0.4,4.4,31.7,4,6,4,5,0,N
5,1,0,1,1,1,1,10,36.12,6.67,1605.4,0.08,54,0.15,89.19,240.81,16,38,12,10,19,N
0,1,0,0,1,1,1,2,0.0,0.0,0.0,0.0,3,0.0,0.0,4.75,0,3,0,3,2,N
0,1,0,0,1,1,1,5,6.18,15.0,1389.64,0.03,33,0.07,77.2,92.64,12,21,2,5,5,N
0,1,0,0,1,1,1,2,9.05,2.0,36.19,0.01,7,0.5,2.0,18.09,2,5,2,4,2,N
0,1,1,0,1,1,1,1,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,3,1,3,2,N
12,1,1,2,1,1,1,5,27.88,3.3,303.6,0.03,23,0.3,16.87,92.0,11,12,10,6,6,N
0,48,0,0,26,5,24,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,70,N
0,1,0,0,1,1,1,2,7.74,1.5,17.41,0.0,5,0.67,0.97,11.61,2,3,2,3,2,N
7,1,0,0,1,1,1,10,29.67,13.13,5110.82,0.13,81,0.08,283.93,389.4,35,46,16,12,10,N
0,1,0,0,1,1,1,2,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,3,1,3,2,N
0,1,24,6,1,1,1,2,159.78,8.88,12612.2,0.47,257,0.11,700.68,1419.56,99,158,39,7,26,N
12,29,0,9,15,6,6,79,90.79,21.3,41183.72,0.64,305,0.05,2287.98,1933.65,139,166,62,19,100,N
3,5,0,0,3,2,1,8,16.74,11.23,2110.54,0.06,41,0.09,117.25,187.98,19,22,11,13,8,N
21,10,1,7,9,8,1,45,42.48,19.98,16963.65,0.28,152,0.05,942.42,848.91,61,91,29,19,46,N
0,1,0,0,1,1,1,0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,1,0,1,0,N
9,7,1,5,4,4,1,26,23.42,21.94,11272.23,0.17,101,0.05,626.23,513.83,39,62,16,18,27,Y
0,1,0,0,1,1,1,12,32.45,11.73,4467.3,0.13,81,0.09,248.18,380.74,32,49,15,11,12,N
0,3,0,0,2,2,1,0,9.32,5.0,233.02,0.02,13,0.2,12.95,46.6,5,8,4,8,0,N
4,7,0,3,4,2,1,25,32.43,10.95,3886.32,0.12,71,0.09,215.91,355.0,32,39,19,13,35,N
3,13,0,15,7,3,4,24,14.41,32.63,15335.18,0.16,100,0.03,851.95,470.04,29,71,8,18,24,N
0,1,0,0,1,1,1,2,0.0,0.0,0.0,0.0,3,0.0,0.0,4.75,0,3,0,3,2,N
5,1,0,8,1,1,1,11,32.4,9.72,3062.5,0.11,63,0.1,170.14,315.0,25,38,18,14,11,N
0,1,1,0,1,1,1,1,10.44,3.5,127.89,0.01,11,0.29,7.11,36.54,3,8,3,7,2,N
0,1,0,0,1,1,1,0,7.75,2.0,31.02,0.01,6,0.5,1.72,15.51,2,4,2,4,0,N
0,1,0,0,1,1,1,0,8.0,3.0,72.0,0.01,8,0.33,4.0,24.0,2,6,2,6,0,N
26,37,2,14,20,18,7,143,92.37,39.13,141452.57,1.2,531,0.03,7858.48,3614.71,224,307,83,29,187,Y
0,1,0,0,1,1,1,0,7.86,2.5,49.13,0.01,7,0.4,2.73,19.65,2,5,2,5,0,N
1,1,0,0,1,1,1,4,17.53,3.75,246.48,0.02,19,0.27,13.69,65.73,9,10,6,5,8,N
6,10,1,1,6,4,1,27,27.81,15.42,6610.26,0.14,85,0.06,367.24,428.77,37,48,18,15,28,N
0,1,0,0,1,1,1,0,5.33,1.5,12.0,0.0,4,0.67,0.67,8.0,1,3,1,3,0,N
0,3,0,0,2,2,1,5,17.22,4.08,287.09,0.02,19,0.24,15.95,70.31,7,12,6,7,5,N
0,1,0,0,1,1,1,2,0.0,0.0,0.0,0.0,3,0.0,0.0,4.75,0,3,0,3,2,N
