Unnamed: 0,LOC_BLANK,BRANCH_COUNT,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CYCLOMATIC_COMPLEXITY,DESIGN_COMPLEXITY,ESSENTIAL_COMPLEXITY,LOC_EXECUTABLE,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,LOC_TOTAL,Defective
14044,0,15,0,0,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,77,Y
13967,0,3,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,66,Y
14025,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,96,N
13958,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,269,N
14049,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,80,N
13959,0,3,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,181,N
14062,0,5,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20,N
13995,0,11,0,0,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,124,Y
14026,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19,N
13948,0,7,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,100,N
13974,0,35,0,0,18,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,80,Y
13979,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,N
14015,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,80,N
13960,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,N
13972,0,5,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,80,Y
13993,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,405,N
14056,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2571,Y
14037,0,5,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,173,N
14021,0,3,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,59,Y
14012,0,23,0,0,12,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,124,Y
13963,0,27,0,0,14,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,91,Y
14060,0,7,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,55,N
13970,0,29,0,0,15,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,71,N
13988,0,33,0,0,17,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,245,N
14029,0,7,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,50,Y
14033,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,73,N
13978,0,11,0,0,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,55,Y
14042,0,3,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,N
14003,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29,Y
13957,0,3,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,58,Y
13981,0,13,0,0,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,407,N
14010,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,34,Y
13973,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,294,N
14067,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,41,Y
13976,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,49,Y
14014,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,248,N
14070,0,3,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,59,N
13953,0,9,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,41,Y
14013,0,3,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,58,Y
14018,0,3,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,59,N
13987,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,193,N
13997,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,N
13983,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24,N
13964,0,5,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,77,Y
14016,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,83,N
13982,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,91,Y
14063,0,5,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20,N
13955,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,81,N
14066,0,9,0,0,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,66,Y
13991,0,11,0,0,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,111,N
14043,0,9,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,41,Y
14017,0,17,0,0,9,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,132,Y
14048,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,142,N
14053,0,9,0,0,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,79,N
13956,0,29,0,0,15,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,145,Y
13961,0,35,0,0,18,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,80,N
14057,0,461,0,0,231,190,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1832,Y
13951,0,3,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,58,Y
13965,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2064,N
13986,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20,N
14020,0,21,0,0,11,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,213,Y
14045,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,122,N
13954,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,36,Y
14028,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,44,N
14055,0,11,0,0,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,112,Y
14058,0,97,0,0,49,47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,463,Y
14002,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,69,Y
13998,0,5,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,60,Y
14031,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,76,N
13994,0,3,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,N
14032,0,7,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,34,N
14009,0,9,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,41,Y
14069,0,25,0,0,13,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,64,Y
14027,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,N
14046,0,9,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,42,N
13989,0,15,0,0,8,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,50,Y
14006,0,197,0,0,99,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,672,Y
14038,0,7,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,633,N
13996,0,5,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,38,N
14036,0,5,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,116,N
14068,0,3,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,151,N
14005,0,5,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,495,N
14023,0,9,0,0,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,71,Y
13980,0,13,0,0,7,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,64,Y
14065,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,92,N
14007,0,3,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,58,Y
14011,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,79,N
14052,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,353,N
13985,0,33,0,0,17,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,169,Y
13977,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,768,N
14059,0,5,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20,N
13949,0,125,0,0,63,56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,489,Y
14000,0,11,0,0,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,94,Y
13969,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,164,N
13950,0,23,0,0,12,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,62,Y
13971,0,15,0,0,8,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,138,Y
14051,0,3,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,59,Y
14047,0,15,0,0,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,96,Y
14035,0,5,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,96,Y
14061,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,121,N
14022,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,338,N
14034,0,3,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,202,Y
14030,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,N
14072,0,11,0,0,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,76,Y
13968,0,3,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,47,Y
14008,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,797,N
14019,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,257,N
14054,0,35,0,0,18,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,78,Y
13962,0,467,0,0,234,139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1810,Y
14040,0,3,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,61,Y
13999,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33,N
14050,0,51,0,0,26,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,228,Y
