Unnamed: 0,LOC_BLANK,BRANCH_COUNT,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CYCLOMATIC_COMPLEXITY,DESIGN_COMPLEXITY,ESSENTIAL_COMPLEXITY,LOC_EXECUTABLE,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,LOC_TOTAL,Defective
33268,0,1,0,0,1,1,1,0,0.0,0.0,0.0,0.0,2,0.0,0.0,2.0,0,2,0,2,0,N
33143,4,1,0,0,1,1,1,19,40.08,13.5,7303.85,0.18,118,0.07,405.77,541.03,45,73,15,9,19,N
33639,0,1,0,0,1,1,1,0,0.0,0.0,0.0,0.0,2,0.0,0.0,2.0,0,2,0,2,0,N
32982,1,3,0,0,2,1,1,6,9.6,6.13,360.21,0.02,17,0.16,20.01,58.81,7,10,4,7,6,N
33030,0,5,0,0,3,3,1,9,15.35,10.67,1746.31,0.05,43,0.09,97.02,163.72,16,27,6,8,9,N
32490,2,1,0,1,1,1,1,3,10.8,2.5,67.5,0.01,9,0.4,3.75,27.0,3,6,3,5,3,N
32891,19,9,2,5,5,5,1,44,42.42,33.07,46402.42,0.47,254,0.03,2577.91,1402.98,94,160,27,19,46,N
33271,3,7,0,0,4,1,3,9,10.26,13.0,1734.69,0.04,32,0.08,96.37,133.44,13,19,6,12,9,N
33013,0,1,0,0,1,1,1,2,12.06,1.5,27.14,0.01,7,0.67,1.51,18.09,3,4,3,3,2,N
33810,0,1,0,0,1,1,1,7,9.38,17.33,2818.28,0.05,47,0.06,156.57,162.59,13,34,3,8,7,N
33430,1,9,0,0,5,1,5,11,9.46,15.3,2213.6,0.05,38,0.07,122.98,144.68,17,21,5,9,11,N
32609,6,3,8,5,2,2,1,20,38.14,38.52,56592.42,0.49,282,0.03,3144.02,1469.07,113,169,22,15,28,Y
32890,6,1,0,2,1,1,1,8,25.94,8.64,1934.62,0.07,51,0.12,107.48,224.01,19,32,11,10,8,N
33284,2,5,0,0,3,1,1,12,16.55,20.22,6769.26,0.11,74,0.05,376.07,334.74,26,48,9,14,12,N
